MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
527793	347632	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08563728384	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,0222656938	17,6	61,6	6,314
527796	347636	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
527799	347640	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08563728384	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,0222656938	17,6	61,6	6,314
527802	347644	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,15882623	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3012948197	239,8	839,3	86,02825
527805	347648	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08563728384	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,0222656938	17,6	61,6	6,314
527808	347652	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
527811	347656	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08563728384	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,0222656938	17,6	61,6	6,314
527814	347660	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
527817	347664	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08540520448	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,02220535316	17,6	61,6	6,314
527820	347668	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
527823	347672	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,08563728384	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	46	9	369	0,0222656938	17,6	61,6	6,314
527826	347676	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	1,161975214	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	46	9	369	0,3021135557	239,8	839,3	86,02825
